a	какой-то
glazing	глазировка|обжиг|обливка
gleam	поблёскивать|мелькнуть|мелькать
gleams	мелькание
glean	подобрать|подбирать
gleeful	развесёлый
glib	бойкий
glibness	бойкость
glide	планирование|планировать|скользить
glide away	вилять
glide down	соскользнуть|соскальзывать
glider	планёр
glider pilot	планерист
gliding	планирование|планеризм
glimmer	мерцать|теплиться|мерцание
glimpses	мелькание
glissando	глиссандо
glitter	блестеть|сверкать|сверкание
glittering	сверкающий
gloating	злорадный
gloating delight	злорадство
global	глобальный
globe	глобус|шаровой
globular	шаровой
globule	шарик|пилюля
gloom	мрак|хмуриться|мрачность
gloominess	мрачность|пасмурность|угрюмость
gloomy	мрачный|хмурый|сумрачный
glorification	славословие|величание|прославление
glorify	прославить|воспеть|воспевать
glorious	славный|дивный
glory	слава
gloss	лоск|глянец|глосса
glossary	словарь|глоссарий|словник
glossy	глянцевый|глянцевитый|лощёный
glove	перчатка
glove compartment	бардачок
glover	перчаточник|перчаточница
glow	зарево|пылать
glow-worm	светляк
glowering	цветение
glucinium	бериллий
glucose	глюкоза
glue	клей|приклеить|клеить
glue together	склеить
glue up	заклеить
glue-boiling	клееварение
glueing	подклейка|оклейка
glum	постный
gluten	клейковина
glutinous	вязкий
glutton	обжора|росомаха|прорва
gluttonous	прожорливый
gluttony	обжорство|прожорливость
glycerine	глицерин
glyptics	глиптика
glyptotheca	глиптотека
gnat	комар
gnaw	грызть|сосать|сверлить
gnaw round	обглодать
gneiss	гнейс
gnome	гном|гнома
gnomon	гномон
gnosiology	гносеология
gnostic	гностик
gnosticism	гностицизм
gnu	гну
go	идти|пойти|ходить
go around	обойти|обходить|объехать
go aside	отойти
go astray	заблудиться|свихнуться
go at it	дуть|подуть
go away	отойти
go away temporarily	отойти
go back	возвращаться|восходить
go bad	тронуться|портиться|потухнуть
go bananas	спятить
go bankrupt	лопнуть|лопаться
go by	проходить|утечь
go crazy	ошалеть|спятить|очуметь
go deep	вникать|вникнуть|углубляться
go down	спуститься|опуститься|съехать
go for	наброситься|набрасываться
go headlong	полететь
go hungry	голодать
go in	зайти|заходить|войти
go insane	спятить
go into	вдаваться|восторгаться
go limp	обмякнуть
go mad	обезуметь|беситься|увлекаться
go off	махнуть|разорваться|проходить
go on	продолжать|продолжить|твориться
go on hunger-strike	голодать
go on travels	путешествовать
go out	выходить|выйти|гаснуть
go over	передаваться|перебежать|перебегать
go pit-a-pat	ёкнуть
go round	кружиться|покрутиться|кружить
go sprawling	растягиваться
go through	пробиться|переживать
go to	доставаться|пройти
go to bed	лечь|ложиться
go to extremes	зарыться|зарываться
go to pieces	рассыпаться
go to ruin	разрушаться
go to seed	опускаться
go together	совместимый
go too far	зарыться|зарываться
go up	увеличиться|въехать|въезжать
go without food	голодать
go wrong	свихнуться
go-ahead	пробивной
go-between	посредник
go-getter	толкач
go-getting	пробивной
goad	скрести
goal	цель|гол|ворота
goal-scorer	бомбардир
goalkeeper	вратарь
goat	коза
goat-breeder	козовод
goat-breeding	козоводство
goatskin	козловый
goatsucker	козодой
gobble	жрать|сожрать|глотать
goblet	кубок|бокал|чара
goby	бычок
god	бог|господь|боже
god of desire	Амур
god's	божий
god-child	крестник|крестница
god-daughter	крестница
god-forsaken	глухой
god-forsaken hole	дебри
god-forsaken place	глухомань
goddess	богиня
godfather	крёстный|восприемник
godless	безбожный
godlessness	безбожие
godmother	восприемница|крёстная
gods	галёрка
godsend	находка
godson	крестник
goes to	доставаться
goffered	гофрированный
goffering	гофрировка
goggle	таращиться
goggle-eyed	глазастый|пучеглазый|лупоглазый
goggles	очки
gogol-mogol	гоголь-моголь
going down	убывание
going round	кружение|объезд
going to seed	обсеменение
goitre	зоб
gold	золото|злато|золотой
gold coin	золотой
gold lace	галун
gold thread	канитель
gold-digger	старатель|золотоискатель
gold-miner	золотодобытчик|золотопромышленник
gold-mining	золотопромышленность
gold-prospector	золотоискатель
goldbricker	сачок
goldcrest	королёк
golden	золотой|златой
golden eagle	беркут
golden rod	желтоцвет
golden-daisy	хризантема
golden-eye	гоголь
golden-haired	золотоволосый
goldfish	пескарь
goldish	золотистый
golf	гольф
golosh	галоша
goloubets	голубец
gondola	гондола
gondolier	гондольер
gone bad	испорченный
gonfalon	хоругвь
gong	гонг
goniometer	гониометр|угломер
gonococcus	гонококк
gonorrhoea	гонорея|триппер
good	добро|хороший|добрый
good behaviour	благонравие
good breeding	воспитание|благовоспитанность|воспитанность
good cellar	винотека
good condition	исправность
good conduct	благонравие
good deal	порядком
good deed	милость|благодеяние
good enough	отличаться
good fortune	счастье|удача
good hand	мастерица
good humour	благодушие
good job	молодец
good looks	благообразие
good luck	удача
good management	распорядительность
good manners	благовоспитанность|светскость
good many	немало
good nature	добродушие|беззлобие|беззлобность
good offices	содействие
good quality	добротность
good sense	здравомыслие
good soul	добряк
good wigging	разнести|разносить
good-for-nothing	непутёвый|бездельник|никчёмный
good-humoured	благодушный
good-looking girl	красотка
good-natured	добродушный|беззлобный
good-natured person	добряк
goodness	доброта
goods	груз|товар|товарный
goods and chattels	барахло|скарб|пожитки
goods traffic	грузопоток
goods truck	платформа
goodwill	приязнь|благосклонность|благоволение
goody-goody	тихоня
goose	гусь|гусиный|гусятина
goose-foot	лебеда
goose-pen	гусятник
gooseberries	крыжовник
gooseberry	крыжовник
gooseberry bush	крыжовник
goosery	гусятник
gopher	суслик
gopnik	гопник
gore	клин
gorge	ущелье|жрать|сожрать
gorgeous	великолепный
gorgeousness	блеск|богатство
gorilla	горилла
gormandizer	обжора
gorodki	городки
gorodki player	городошник
gosduma	госдума
gosling	гусёнок
gospel	евангелие|евангельский
gosplan	госплан
gossamer	паутина|газ
gossip	сплетня|сплетник|болтун
gost	гост
got	попасть
goth	гот
gothic	готический|готика
gouache	гуашь
gouge	долбить|долото
goulash	гуляш
gourd	тыква
gourmand	лакомка
gourmandise	гурманство
gourmet	гастроном|гурман
gout	подагра
gouty person	подагрик
govern	управлять|править
governess	мадам|воспитательница|гувернантка
governing	правление
governing body	руководство
government	правительство|правление|правительственный
government official	депутат|дьяк
government purveyor	заготовитель
governmental	правительственный
governor	губернатор|регулятор|городничий
governor of province	воевода
governor of town	градоначальник
governor-general	наместник|генерал-губернатор
governorship	губернаторство
gown	платье|мантия
goznak	гознак
grab	схватить|хватать|грейфер
grabber	стяжатель|рвач
grabbing	рвачество
grace	милость|грация|изящество
graceful	изящный|грациозный
gracefully	грациозно
gracefulness	грациозность
gracious	милостивый|благосклонный
gradation	градация
grade	оценка|разряд|марка
grade level	ступень
grade up	улучшить|улучшать
grader	грейдер
grades	отметка
gradient	уклон|градиент
grading	сортировка
gradual	постепенный
gradually	постепенно|исподволь|мало-помалу
gradualness	постепенность
graduate	выпускник|окончить|выпускать
graduate course	аспирантура
graduate students	аспирантура
graduate study	аспирантура
graduates	выпуск
graduation	окончание|выпускной
graecism	грецизм
graft	росток|подкуп|побег
grafter	взяточник
grafting	наращивание|колировка|прививка
grain	зерно|крупица|капля
grain beetle	кузька
grain crop	зерно
grain dryer	зерносушилка
grain merchant	лабазник
grain of powder	порошинка
grain of roe	икрина
grain of sand	песчинка
grain-crops	зерновой
grain-elevator	элеватор
grain-grower	хлебороб
grain-producing	хлебный
graine	грена
grains	барда
grainy	зернистый
gram	грамм
grammar	грамматика
grammatical	грамотный|грамматический
grammatical case	падёж
grammatical correctness	грамотность
grammatically	грамотно
gramme	грамм
gramme atom	грамм-атом
gramme molecule	грамм-молекула
gramophone	патефон|граммофон|патефонный
gramophone recording	грамзапись
granary	амбар|житница|зернохранилище
grand	великий|важный|величественный
grand gentleman	барин
grand master	гроссмейстер
grand piano	рояль
grand-dad	дедушка
grandad	дедушка
grandchild	внук|внучка
grandchildren	внучата
granddaughter	внучка
grandee	гранд|вельможа
grandeur	величие|благолепие|величественность
grandfather	дед|дедушка
grandiloquence	высокопарность
grandiloquent	высокопарный
grandiloquently	высокопарно
grandiose	грандиозный
grandiosity	грандиозность
grandly	важно
grandma	бабушка
grandmamma	бабушка
grandmother	бабушка|бабка
grandpa	дедушка
grandson	внук
grange	мыза
granite	гранит|гранитный
granitic	гранитный
granny	бабуся|бабушка
grant	пожаловать|пособие|стипендия
grant pardon	миловать
grant-in-aid	пособие|субсидия
grantor	даритель|дарительница
granular	зернистый
granulation	грануляция
granule	гранула
grape	виноградина
grape-shot	картечь
grape-sugar	глюкоза
grapefruit	грейпфрут
grapes	виноград
graph	график|диаграмма
graphic	наглядный|графический|изобразительный
graphic artist	график|рисовальщик|рисовальщица
graphically	образно|наглядно|выпукло
graphite	графит
graphology	графология
graphomania	графомания
graphomaniac	графоман
grapnel	кошка
grapple	обхватить
grasp	ухватиться|хватка|постигнуть
grasp the meaning	смекнуть
grasping	хищный|ненасытный|алчный
grass	трава|травяной|марихуана
grass farming	луговодство
grass snake	уж
grass-plot	лужайка|газон
grass-snake	медянка
grasshopper	кузнечик
grassy	травяной|травянистый
grate	натереть|тереть|протереть
grate-bar	колосник
grated	тёртый
grateful	благодарный|признательный
grater	тёрка
graticule	сетка
gratification	удовлетворение
gratify	тешить
gratifying	благодарный|отрадный
grating	решётка
gratis	бесплатно|безвозмездно|даром
gratitude	благодарность|признательность
gratuitous	бесплатный|безвозмездный|даровой
gratuity	пособие|наградной
grave	могила|гроб|тяжкий
grave-digger	могильщик
gravel	песок|гравий|галка
gravely	степенно
graver	грабштихель
gravestone	надгробие
graveyard	кладбище
gravitate	тяготеть
gravitation	тяготение|гравитация
gravity	тяжесть|тяготение|серьёзность
gravity flow	самотёк
gravity incline	бремсберг
gravy	соус|подливка
gravy-boat	судок|соусник
grayling	хариус
graze	пастись|пасти|ободрать
grease	жир|смазать|смазывать
grease the palm	смазать|смазывать
grease the wheels	смазать|смазывать
grease-paint	грим
greaser	смазчик|смазчица
greasily	жирно
greasing	смазка|смазывание|подмазка
greasy	засаленный|жирный|сальный
great	великий|гениальный|большой
great bilberries	голубика
great bilberry	голубика
great britain	Великобритания
great deal	невпроворот|немало
great distance away	далеко
great figure	величина
great landowner	вотчинник
great primer	терция
great russian	великорус
great snipe	дупель
great talent	талант
great-granddaughter	правнучка
great-grandfather	прадед
great-grandmother	прабабушка|прабабка
great-grandson	правнук
great-great-grandfather	прапрадед
greatcoat	шинель
greatcoat roll	скатка
greater	больший|вящий|больше
greater celandine	чистотел
greatest	величайший|наибольший
greatly	очень|сильно|весьма
greatly praised	хвалёный
greatness	величие|гениальность
grecian	греческий
grecism	грецизм
greece	Греция
greed	жадность|корысть|алчность
greed for money	сребролюбие
greedily	жадно
greedy	жадный|ненасытный|алчный
greedy-guts	жадина
greek	грек|греческий
greek woman	гречанка
green	зелёный|зелень
green-eyed	зеленоглазый
green-room	артистическая
greenery	зелень
greenfly	тля
greengage	ренклод
greengrocer	зеленщик
greenhorn	молокосос
greenhouse	оранжерея|теплица
greenish	зеленоватый
greens	зелень
greet	приветствовать|поздороваться|здороваться
greeting	приветствие
gregarious	стадный
grenade	граната
grenade cup discharger	гранатомёт
grenade-thrower	гранатомётчик
grenadier	гранатомётчик|гренадер
grey	серый|седой|серо
grey colour	серость
grey hair	седина
grey horse	сивка
grey mullet	кефаль
grey streaks	седина
grey-bearded	седобородый
grey-eyed	сероглазый
grey-haired	седой|седовласый
grey-headed	седовласый
greybeard	бородач
greyish	сероватый|седоватый
greyish black	маренго
grid	сетка
griddle	противень
gridiron	рашпер|колосник
grief	горе|печаль|огорчение
grieve	горевать|убиваться|скорбеть
grievous	печальный|кровный
griffin	гриф|грифон
grig	угорь
grill	жарить|поджарить|зажарить
grille	решётка
grilled	жареный
grilled beef dish	поджарка
grilling	жаренье
grim	мрачно
grimace	гримаса|ужимка
grimacer	гримасник|гримасница
grimacier	гримасник|гримасница
grimacing	кривлянье
grin	усмешка|усмехнуться|усмехаться
grind	растирать|растереть|скрежетать
grinder	точильщик
grinding	шлифовка|растирание|помол
grindstone	точило
grip	рукоятка|хвататься|хватка
grip-sack	саквояж
gripe	рыскать
gripes	резь|колотьё
grippe	грипп
gripping	захватывающий
gristle	хрящ
grit	строение|песчинка|хрящ
gritstone	песчаник
grivna	гривна
grizzly	седоватый
groan	стон|кряхтеть|стонать
groaning	кряхтенье
grocer	бакалейщик
groceries	бакалея
groceries and provisions	гастрономия
grocery	бакалея|бакалейный
grog	грог
groin	пах
groom	конюх|грум
groove	рытвина|паз|желобок
grope	нащупывать|нашарить
groping	ощупью
gross	бяка|брутто|гросс
gross output	вал
grosz	грош
grotesque	гротеск
grotto	пещера|грот
ground	площадка|земля|поле
ground beetle	жужелица
ground floor	подклеть
ground squirrel	суслик
ground-in stopper	пробка
grounded	молотый|обоснованный
grounding	подготовка
groundless	беспричинный|необоснованный|беспочвенный
groundlessness	беспочвенность|несостоятельность|необоснованность
grounds	гуща|основание|данные
groundsheet	плащ-палатка
groundwork	канва
group	группа|коллектив|партия
group of enterprises	комбинат
group of sightseers	экскурсия
grouping	группировка|компоновка
grouse	фыркнуть|фыркать
grousing	ворчливый
grove	роща|лесок
grovel	унижаться
groveller	холуй|низкопоклонник
grovelling	пресмыкательство|подхалимство
grow	вырасти|нарастать|расти
grow bald	лысеть
grow bolder	осмелеть
grow cold	похолодеть|холодеть
grow dim	потускнеть|тускнеть
grow faint	изнемогать
grow fond	полюбить
grow gloomy	помрачнеть
grow heavy	отяжелеть
grow in	врасти
grow languid	разомлеть
grow louder	усиливаться
grow numb	онеметь
grow obese	расплыться|расплываться
grow old	стареть|постареть
grow overcast	затянуться|затягиваться
grow progressively worse	прогрессировать
grow quiet	униматься|присмиреть
grow quiet down	притихнуть
grow rich	разбогатеть
grow ripe	зреть|узреть
grow silent	смолкнуть|смолкать
grow thick	разрастись|разрастаться
grow thin	похудеть|худеть
grow timid	оробеть
grow together	срастись
grow torpid	оцепенеть
grow up	вырасти|подрасти|вырастать
grow weak	обессилеть
grow wiser	поумнеть
grow young again	помолодеть
growing	врастание|произрастание|перерастание
growing in	врастание
growl	рычать|рычание|ворчать
growl out	буркнуть
growling	ворчание
grown-up	взрослый|большой
growth	рост|развитие|нарастание
grub	жратва|личинка|харчи
grudge	жалеть|пожалеть|дрожать
gruel	баланда|размазня
gruffly	хрипло
grumble	ворчать|проворчать|ропот
grumbler	брюзга|ворчун|ворчунья
grumbling	ворчливый|ворчание|брюзжание
grumpy	ворчливый
grunt	крякнуть|крякать
grushovka apples	грушовка
gruss	дресва
gryphon	гриф|грифон
guaiacum	бакаут
guano	гуано
guarantee	гарантия|гарантировать|ручаться
guarantor	гарант|поручитель|поручительница
guaranty	ручательство
guard	охранник|стража|караул
guard commander	разводящий
guard-house	гауптвахта|караулка
guard-room	гауптвахта|караулка
guard-ship	брандвахта
guardedly	осторожно
guardian	опекун|блюститель|попечитель
guardians	опека
guardianship	опека|попечительство|опекунство
guarding	охрана
guards	гвардия
guardsman	гвардеец|страж
guelder rose	калина
guerilla	партизан
guerilla warfare	партизанство
guess	догадаться|догадываться|угадать
guess right	угадывать
guess-work	догадка|гадание
guesser	отгадчик|отгадчица
guest	гость|посетитель|гостья
guffaw	захохотать|гогот
guidance	руководство
guide	проводник|наставник|экскурсовод
guide-bar	правило
guide-book	путеводитель
guide-rope	гайдроп
guided by principle	принципиальный
guiding	путеводный
guiding principle	руководство
guild	цех|гильдия
guilder	гульден
guile	хитрость
guileless	нехитрый
guillotine	гильотина
guilt	вина|виновность
guiltily	виновато
guiltless	безвинный|невинный
guiltlessly	безвинно
guiltlessness	невиновность|невинность
guilty	виноватый|виновный|повинный
guinea	гинея
guinean	гвинеец|гвинейка
guipure	гипюр
guise	личина
guitar	гитара
guitarist	гитарист
gulden	гульден
gulf	залив|пучина
gull	чайка
gullet	пищевод|глотка
gullibility	легковерие
gullible	легковерный
gully	овраг|балка|промоина
gulp	глоток
gulp down	проглотить|глотать|хлебать
gum	десна|мастика|клеить
gum arabic	гуммиарабик
gumption	смётка|сметливость
gun	ствол|ружьё|оружие
gun rifle stock	ложа
gun-carriage	лафет
gun-cotton	пироксилин
gun-cradle	люлька
gun-fire	стрельба
gun-port	амбразура
gun-sight	прицел
gun-slot	бойница
gunboat	канонерка
gunlayer	наводчик
gunman	бандит
gunner	стрелок|артиллерист|батареец
gunpowder	порох
gunsmith	оружейник|ружейник
gurgle	булькать
gurgling	бульканье
gush	хлестать
gush out	хлынуть
gusli	гусли
gusset	клин|ластовица|кница
gust	порыв
gustatory	вкусовой
gusto	живинка
gusty	порывистый
gut	кишка
gutta-percha	гуттаперча
gutter	жёлоб|лоток|сток
gutter press	бульварщина
guttural	гортанный
guy	мужик|парень|тип
guzul	гуцул|гуцулка
guzzle	жрать|сожрать
gym	спортзал
gym-shoes	кеды
gymnasia	гимназия
gymnasia pupil	гимназист|гимназистка
gymnasium	спортзал
gymnast	гимнаст|гимнастка
gymnastic	гимнастический
gymnastic apparatus	снаряд
gymnastics	гимнастика
gynaecological	гинекологический
gynaecologist	гинеколог
gynaecology	гинекология
gyps	гипс
gypseous	гипсовый
gyrate	крутиться
gyration	вращение|циркуляция
gyrfalcon	кречет
gyrocompass	гирокомпас
gyroscope	гироскоп
ha	ха
haberdashery	галантерея
habit	привычка|обыкновение|повадка
habitable	жилой
habitation	жильё|жилище
habitual	обыкновенный|привычный|бывалый
habitualness	привычность
habitue	завсегдатай
hachures	штрих
hack	кайло|зарубить|рубить
hack writer	борзописец
hack-saw	ножовка
hack-work	халтура|ремесленничество
hack-worker	халтурщик
hackle	гребень|чесалка
hackneyed	избитый|банальный|тривиальный
had better	следовать
haddock	пикша
hades	ад
hadji	хадж
haematologist	гематолог
haematology	гематология
haematoma	гематома
haemoglobin	гемоглобин
haemophilia	гемофилия
haemoptysis	кровохарканье
haemorrhage	кровотечение|кровоизлияние
haemorrhoids	геморрой
haft	рукоятка|черенок
hag	ведьма|карга
haggard	поношенный|испитой
haggle	торг|торговаться
haggling	торг
hail	град|окликнуть|окрик
hailstone	градина
hair	волос|шерсть|волосок
hair hostess	стюардесса
hair style	причёска
hair-cutting	стрижка
hair-do	причёска|завивка
hair-drier	фен
hair-dye	сурьма
hair-piece	накладка
hair-pin	шпилька|заколка
hair-shirt	власяница
hair-slide	заколка
hair-splitting	дотошный|въедливый
hair-worm	волосатик
haircut	причёска|стрижка
hairdresser	парикмахер|парикмахерский
hairdressing salon	парикмахерская
hairless	безволосый
hairlike nematode	нитчатка
hairsplitter	крохобор
hairsplitting	крохоборство
hairspring	волосок|пружинка
hairy	мохнатый|волосатый
hairy mongrel	шавка
hajji	хадж
hake	хек
halberd	алебарда
halcyon	зимородок
half	половина|половинка|наполовину
half a bottle	полбутылки
half a century	полвека
half a kilogram	полкило
half a million	полмиллиона
half a year	полгода
half an hour	полчаса
half an ounce	лот
half and half	исполу
half awake	спросонья
half copeck coin	грош
half in jest	полушутя
half litre	пол-литра
half litre bottle	пол-литра
half mask	полумаска
half measure	полумера
half squatting	полуприседание
half the trouble	полбеды
half the work	полдела
half way along	посередине
half-and-half	пополам
half-back	полузащитник
half-backs	полузащита
half-baked	сыроватый
half-belt	хлястик
half-blooded	полукровка
half-bottle	полбутылки
half-bred	полукровка
half-breed	метис
half-company	полурота
half-conscious state	забытьё|полузабытьё
half-cooked	сыроватый
half-copeck coin	денежка
half-dark	полутьма
half-decay	полураспад
half-disintegration	полураспад
half-done	сырой|сыроватый
half-educated	малограмотный|малоразвитой
half-educated person	недоучка
half-face	вполоборота|пол-оборота
half-finished product	заготовка
half-heartedly	вполнакала
half-light	полумгла
half-moon	полумесяц
half-naked	полуголый
half-open	полуоткрытый
half-pace	полшага
half-rise	привстать
half-smile	полуулыбка
half-squadron	полуэскадрон
half-starving	впроголодь
half-tint	полутон
half-turn	пол-оборота|полуоборот
half-turned	вполоборота
half-way	полдороги
half-way policy	половинчатость
half-witted	полоумный|чумовой
half-woollen	полушерстяной
half-year	полугодие
halfway	посредине
halibut	палтус
hall	зал|прихожая|холл
hall porter	швейцар
hall-stand	вешалка
hallmark	проба
hallmarked	пробный
hallo	окрик
hallooing	улюлюканье
hallucination	галлюцинация
hallway	коридор
halo	ореол|венчик|нимб
halogen	галоген
haloid	галоид
haloxylon	саксаул
halt	привал|полустанок|запнуться
halter	недоуздок
halting place	этап
halva	халва
ham	ветчина|окорок|бездарность
hamadryad	гамадрил
hamburger	гамбургер
hame-strap	супонь
hamlet	деревушка|селение
hammer	молоток|молот|ковать
hammer in	забивать|вбить|вбивать
hammer out	сковать|сковывать|расплющить
hammer-fish	молот-рыба
hammer-head shark	молот-рыба
hammerer	молотобоец
hammering in	вколачивание
hammerman	молотобоец
hammock	гамак
hamper	затруднить|затруднять|тормозить
hamster	хомяк
hand	рука|протянуть|ручной
hand car	дрезина
hand over	передать|предать|отдать
hand to hand	врукопашную
hand-cart	тележка
hand-gun	ружьё
hand-made article	поделка
hand-rail	перила|поручни
hand-to-hand fight	рукопашная
hand-written	писаный
handbag	сумочка|ридикюль
handball	гандбол
handballer	гандболист|гандболистка
handbell	колокольчик
handbook	руководство
handclasp	рукопожатие
handcuff	наручник
handcuffs	наручники
handful	горсть|пригоршня|горстка
handicap	гандикап
handicapped	дефективный
handicraft	мастерство|ремесло|ремесленный
handicraftsman	кустарь
handiness	поворотливость
handing	вручение
handing-in	представление
handkerchief	платок
handle	выдержать|рукоятка|рукоять
handlebars	руль
handling	обращение
handmaid	горничный
handout	подаяние
handshake	рукопожатие
handsome	красивый|хороший|благообразный
handsome man	красавец
handstand	стойка
handwheel	маховик|маховичок
handwriting	почерк|рука
handy	удобный|сподручный
hang	повиснуть|вешать|повесить
hang about	болтаться|шастать|толочься
hang down	свисать|повиснуть|отвиснуть
hang heavy	тянуться
hang loosely	болтаться
hang oneself	повеситься|вешаться
hang out	высовываться
hang over	свешиваться
hang up	повесить|подвесить|навесить
hangar	ангар
hanged man	повешенный|висельник
hanger bracket	подвеска
hanger-on	прихвостень|нахлебница|прихлебатель
hangers	плечики
hanging	висячий|повешение|развеска
hanging up	подвеска
hangings	драпировка|драпри
hangman	палач
hangnail	заусенец|заусеница
hangout	притон
hangover	похмелье
hank	моток
haphazardly	кое-как
hapless	горемычный
happen	происходить|произойти|случиться
happen to	деться|деваться|приходиться
happen to be	выпасть
happen to have	находить
happen upon	набрести
happened	случившееся
happening	происходящее
happily	счастливо|весело|радостно
happiness	счастье|благополучие
happy	счастливый|благополучный|весёлый
happy-go-lucky	беспечность
hara-kiri	харакири
harass	тревожить|встревожить|донимать
harassment	домогательство
harbin	Харбин
harbinger	предвестник|предвестница
harbour	порт|гавань|затаить
harbour boom	боны
harbouring	укрывание
hard	твёрдый|жёсткий|тяжёлый
hard cover	папка
hard drinking	пьянство|запой
hard frost	стужа
hard labour	каторга
hard of hearing	глуховатый
hard tack	галета
hard times	безвременье
hard to understand	малопонятный
hard work	трудолюбие
hard worker	работяга
hard-hearted	чёрствый|бесчувственный|бессердечный
hard-hearted person	кремень
hard-heartedness	чёрствость|жестокосердие|бессердечие
hard-mouthed	неподатливый
hard-working	трудолюбивый|работящий
hardcore	жесть|махровый
harden	застыть|окаменеть|затвердеть
hardened	матёрый|закалённый|ожесточённый
hardening	закалка|закаливание|уплотнение
hardiness	выносливость|зимостойкость
hardish	тяжеловатый
hardly	едва|тяжело|еле
hardly probable	маловероятный
hardness	твёрдость|зачерствелость
hards	очёски
hardship	лишение
hardware	железо|метизы
hardy	выносливый
hare	заяц|русак
hare fur	заяц
hare-brained	безголовый
harem	гарем
haricot	фасоль
hark	внимать|внять
harlequin	арлекин
harlequinade	арлекинада
harm	худо|вред|зло
harmful	вредно|вредный|зловредный
harmfulness	вредность
harmless	безобидный|безвредный|невинный
harmless creature	овечка
harmlessness	невинность
harmonic	гармонический
harmonious	согласный|гармоничный|дружный
harmonist	гармонист
harmonization	гармонизация
harmonize	сочетаться
harmony	гармония|строй|согласие
harmony concord	лад
harmony in work	сработанность
harness	сбруя|упряжка|упряжь
harness horses	закладывать
harness-maker	шорник
harnessing	запряжка
harp	арфа
harp-player	арфист|арфистка
harpist	арфист|арфистка
harpoon	острога|гарпун
harpooner	гарпунёр
harpsichord	клавесин
harpy	гарпия
harpy eagle	гарпия
harridan	ведьма|карга
harrow	борона
harrowing	душераздирающий|боронование
harsh	резкий
harvest	урожай|жатва|убирать
harvester	жатка|жнейка|лобогрейка
harvesting	уборка|уборочный
has been	выдаться
hash	крошево
hashish	гашиш
hasp	застёжка|пробой
hassle	морока
haste	спешка|гонка|поспешность
hasten	торопиться|ускорить|поспешить
hastily	наскоро|поспешно|спешно
hastiness	горячность|опрометчивость
hasty	торопливый|опрометчивый|поспешный
hat	шляпа
hat-box	картонка
hatch	люк|выводок|вывести
hatchel	гребень
hatchet	топорик|тесак
hatching	высиживание
hatchway	люк
hate	ненавидеть
hated	ненавистный
hateful	ненавистный|постылый
hater	ненавистник|ненавистница
hatred	ненависть
hatred of mankind	человеконенавистничество
hauberk	кольчуга
haughtily	горделиво
haughtiness	высокомерие|спесь|надменность
haughty	горделивый|надменный|высокомерный
haul	тоня|тянуть|переть
haul in	выбрать|выбирать
haul up	подтянуть|подтягивать
haulage	откатка
haulage-man	откатчик
hauler	откатчик
hauling down	спуск
haulm	солома
haunt	притон|преследовать
haunter	завсегдатай
haunting	неотвязный
hauteur	неприступность
havana	Гавана
have	иметь|иметься|бывать
have a bathe	покупаться
have a chat	поболтать
have a claim	претендовать
have a cough	кашлять
have a couple	подвыпить
have a crush	сохнуть
have a drink	попить
have a game	сражаться
have a hair-do	причёсываться
have a knowledge	знать
have a look	поглядеть
have a miscarriage	выкинуть|выкидывать
have a nap	поспать|подремать
have a reputation	слыть|славиться
have a run	побегать
have a sensation	чувствовать|почувствовать
have a shave	бриться
have a shower-bath	обливаться
have a smoke	покурить
have a snack	закусывать
have a talk	поговорить|побеседовать|потолковать
have a weakness	прильнуть
have altered	переделывать
have an affair	крутить
have an argument	спорить
have an effect	отражаться|действовать|подействовать
have an influence	влиять|повлиять
have an orgasm	кончить|кончать
have available	расположить|располагать
have been flying	отлететь|отлетать
have big ideas	замахнуться|замахиваться
have control	ворочать
have covered	налетать
have dinner	ужинать|поужинаться
have done	покончить
have flown	налетать
have free time	освободиться
have fun	веселиться
have heard plenty	наслушаться
have in store	приготовить
have it out	объясняться|объясниться
have knitted again	перевязать|перевязывать
have lie-down	полежать
have occasion	довестись|доводиться
have on lease	арендовать
have patience	потерпеть
have read	начитаться
have recourse	прибежать|прибегать|прибегнуть
have respect	уважать
have seen life	пожить
have some privacy	уединиться
have the courage	отважиться
have the intention	задумать
have the wardship	опекать
have time	успеть|успевать
have to	прийтись|приходиться|придтись
have to do	связаться|связываться
have-nots	неимущий
haven	гавань|пристанище
haversack	ранец
having a burr	картавый
having a grudge	обиженный
having a tail	хвостатый
having an urge	охочий
having built	застройщик
having common sense	неглупый
having kittens	окот
having many children	многодетный
having no	бесплацкартный
having no family	бессемейный
having no future	бесперспективный
having no prospects	бесперспективный
having prospects	перспективный
having sat	присев
having things out	объяснение
havoc	разгром
haw	боярышник
hawaiian	гавайский
hawk	ястреб|перепелятник
hawker	разносчик|лоточник|лоточница
hawser	перлинь
hawthorn	боярышник
hay	сено|сенной
hay harvest	укос
hay harvesting	сеноуборка
hay purchasing	сенозаготовки
hay spreader	сеноворошилка
hay tedder	сеноворошилка
hay-crop	укос
hay-drier	сеносушилка
hay-dust	труха
hay-maker	косарь
hay-mattress	сенник
hay-mowing	сенокос
hay-stacker	сенокопнитель
hayfield	сенокос
haying	сенокос
hayloft	сеновал
haymaking	покос|сенокос|сеноуборка
haymaking time	покос|сенокос
haze	мгла|туман|дымка
hazel	орешник|лещина
hazel-grouse	рябчик
hazel-grove	орешник
hazel-hen	рябчик
hazily	туманно
haziness	туманность
hazing	дедовщина
hazy	туманный|мглистый
